ID_Vehiculo,ID_Chofer,Placa,Operativo,Latitud,Longitud
1,54,SAD-34,1,-12.157162,-76.964938
2,1,TEST-1,1,-12.146202,-76.973227
3,14,TEST-14,1,-12.068748,-76.970203
4,15,TEST-15,1,-10.331537,-76.416178
5,16,TEST-16,1,-12.039898,-76.986161
6,17,TEST-17,0,-12.184176,-76.930575
7,18,TEST-18,0,-12.026899,-76.958559
8,19,TEST-19,0,-12.057956,-76.925491
9,20,TEST-20,1,-12.047863,-76.947331
10,21,TEST-21,0,-12.031776,-76.944347
11,22,TEST-22,0,-12.196886,-76.985100
12,23,TEST-23,1,-12.140376,-76.968174
13,24,TEST-24,0,-12.143780,-76.972584
14,25,TEST-25,0,-12.103000,-76.920659
15,26,TEST-26,0,-12.070632,-76.964355
16,27,TEST-27,1,-12.129545,-76.968525
17,28,TEST-28,1,-12.128599,-77.019824
18,29,TEST-29,0,-12.177170,-76.980718
19,30,TEST-30,1,-12.075102,-76.952589
20,31,TEST-31,0,-12.004306,-76.928977
21,32,TEST-32,0,-12.187896,-76.921707
22,33,TEST-33,0,-12.037095,-76.994085
23,34,TEST-34,1,-12.109107,-76.986367
24,35,TEST-35,0,-12.167155,-76.941284
25,36,TEST-36,0,-12.123788,-76.983038
26,37,TEST-37,0,-12.173603,-76.900677
27,38,TEST-38,0,-12.012394,-76.912900
28,39,TEST-39,1,-12.068745,-76.949524
29,40,TEST-40,0,-12.125475,-76.928042
30,41,TEST-41,0,-12.167578,-77.000229
31,42,TEST-42,1,-12.160708,-73.524401
32,43,TEST-43,0,-12.143667,-77.024848
33,44,TEST-44,0,-12.199273,-76.968209
34,45,TEST-45,0,-12.136033,-77.005138
35,46,TEST-46,1,-12.061913,-76.959374
36,47,TEST-47,1,-12.022006,-76.974446
37,48,TEST-48,1,-12.055940,-76.912130
38,49,TEST-49,1,-12.113530,-77.013999
39,50,TEST-50,0,-12.002410,-76.908987
40,51,TEST-51,1,-12.046582,-76.992766
41,52,TEST-52,0,-12.050344,-76.982220
42,53,TEST-53,0,-12.146448,-76.942074
